Event ID,Class,Date,Start,End,Region,Venue
E01,Hour of Micro:bit,2026-04-18,10:00,14:00,Central San Diego,La Jolla / Riford Library
E02,Hour of Micro:bit,2026-04-23,15:00,17:00,North County Inland,Rancho Bernardo Library
E03,Hour of Micro:bit,2026-04-26,10:00,14:00,North County Coastal,Encinitas Branch
E04,Hour of Micro:bit,2026-05-02,10:00,14:00,South Bay,Civic Center Branch
E05,Hour of Micro:bit,2026-05-07,15:00,17:00,East County,El Cajon Branch
E06,Hour of Micro:bit,2026-05-16,10:00,14:00,Central San Diego,Scripps Miramar Ranch Library
